station_name,available_bikes
Ara City Campus,"[6, 6, 6, 6, 6, 6, 6, 6]"
Ara Woolston Campus,"[2, 2, 2, 2, 2, 2, 2, 2]"
99 Quay Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
North wharf,"[0, 0, 0, 0, 0, 0, 0, 0]"
VXV plaza,"[0, 0, 0, 0, 0, 0, 0, 0]"
375 Karangahape Road,"[0, 0, 0, 0, 0, 0, 0, 0]"
122 Karangahape Road,"[0, 0, 0, 0, 0, 0, 0, 0]"
20 Pitt Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
42 Wakefield Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
105 Symonds Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
1 Anzac Avenue,"[0, 0, 0, 0, 0, 0, 0, 0]"
83 Fort Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
23 Shortland Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
25 O'Connell Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
27 Swanson Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
118 Nelson Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
82 Wyndham Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
155 Victoria Street West,"[0, 0, 0, 0, 0, 0, 0, 0]"
80 Federal Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
2 Kitchener Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
35 Wellesley Street East,"[0, 0, 0, 0, 0, 0, 0, 0]"
55 Wellesley Street West,"[0, 0, 0, 0, 0, 0, 0, 0]"
154 Queen Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
440 Queen Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
508 Queen Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
287 Queen Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
191 Queen Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
131 Queen Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
75 Queen Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
1 Daldy Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
90 Jellicoe Street,"[0, 0, 0, 0, 0, 0, 0, 0]"
