station_name,available_bikes
Shareplace -bike sharing tour ,0
Ara City Campus,8
Ara Woolston Campus,2
99 Quay Street,3
North wharf,3
VXV plaza,2
375 Karangahape Road,0
122 Karangahape Road,0
20 Pitt Street,0
42 Wakefield Street,2
105 Symonds Street,0
1 Anzac Avenue,1
83 Fort Street,2
23 Shortland Street,0
25 O'Connell Street,0
27 Swanson Street,2
118 Nelson Street,0
82 Wyndham Street,0
155 Victoria Street West,0
80 Federal Street,0
2 Kitchener Street,0
35 Wellesley Street East,0
55 Wellesley Street West,0
154 Queen Street,2
440 Queen Street,0
508 Queen Street,0
287 Queen Street,0
191 Queen Street,0
131 Queen Street,0
75 Queen Street,0
1 Daldy Street,2
90 Jellicoe Street,0
28 Madden Street,0
1 Madden Street,0
184 Pakenham Street West,0
101 Pakenham Street West,2
21 Viaduct Harbour Avenue,2
121 Customs Street West,0
88 Customs Street West,2
4 Market Place,2
56 Beach Road,0
40 Beach Road,1
1 Galway Street,2
96 St Georges Bay Road,0
22 Princess Street,0
309 Queen Street,0
364 Queen Street,0
49 Wellesley Street East,0
25 Symonds Street,0
33 Princess Street,0
18 Symonds Street,2
126 Beach Road,0
Britomart Place,2
3 Fort Street,0
215 Queen Street,0
14 Grafton Road,0
75 Park Road,0
108 Carlton Gore Road,0
2 Davis Crescent,0
305 Broadway,0
186 Parnell Road,0
15 Nicholls Lane,0
4 Williamson Avenue,0
136 Ponsonby Road,0
149 Quay Street,3
Gore Street,3
1 Khyber Pass Road,0
19 Customs Street West,0
Tiramarama Way,0
200 Victoria Street West,0
BIKE 64434,1
BIKE 64439,1
St. Pölten / Hauptbahnhof Ostportal,22
St. Pölten / Seenerlebnis Viehofen,3
St. Pölten / Rathausplatz,10
St. Pölten / Wirtschaftszentrum NÖ,7
St. Pölten / Landesmuseum - Festspielhaus,1
St. Pölten / Haus 1a - Landhaus,8
St. Pölten / Tor zum Landhaus,10
St. Pölten / Klostergasse,5
St. Pölten / Gästehaus Aquilin,3
St. Pölten / Landesklinikum,1
St. Pölten / Gugler* / Josefskirche,11
St. Pölten / Hauptbahnhof Vorplatz,23
St. Pölten / Haus 2 - Landhaus,6
St. Pölten / Haus 12 - Landhaus,2
St. Pölten / Haus 7 - Landhaus,1
St. Pölten / Haus 14 - Landhaus,2
St. Pölten / Haus 16 - Landhaus,2
St. Pölten / WIFI - NDU,0
St. Pölten / Fachhochschule,5
St. Pölten / SPORT.ZENTRUM.Niederösterreich,8
St. Pölten / Emmausgemeinschaft Viehofen,1
St. Pölten / Landeskliniken-Holding,2
St. Pölten / AK Platz,2
St. Pölten / Campus Domus,2
St. Pölten / Alpenbahnhof NÖVOG,4
St. Pölten / Werk 3100 - Haus 56,4
St. Pölten / citysplash Freibad,4
St. Pölten / Unterwagramer Str. / VS Wagram,3
St. Pölten / VAZ,3
St. Pölten / Zwetzbachermühle,3
BIKE 35787,1
BIKE 35851,1
BIKE 35898,1
Ma. Enzersdorf / Haltestelle,3
Wiener Neudorf / HST Griesfeld,2
Vösendorf / Schönbrunner Allee,2
Vösendorf / Siebenhirten HST,4
Wiener Neudorf / Haltestelle,4
Mödling / Bahnhof,10
